pedido_id,pagamento_value,pagamento_forma,pagamento_parcelas,CustoFinanceiro,,,,,,,,,,,
26639,"13.480,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27084,"6.550,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27086,"3.768,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27086,"15.072,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
27085,"1.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27085,"4.000,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26640,"5.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26643,"1.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26643,"24.000,00",Crédito,7,"R$ 0,00",,,,,,,,,,,
27087,"1.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27087,"1.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27087,"1.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26644,"6.940,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27090,"5.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26646,"7.560,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26351,"1.827,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26351,"1.827,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26401,"6.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27089,"2.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27089,"1.180,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
27091,"9.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27091,"11.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26352,"705,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26402,"2.691,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26402,"3.269,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
27092,"1.990,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
27092,"1.990,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26354,"1.696,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
26354,"1.840,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
26403,"5.300,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26403,"4.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26403,"2.779,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26356,"9.571,00",Crédito,7,"R$ 0,00",,,,,,,,,,,
26648,"900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26404,"1.634,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26649,"23.600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26407,"5.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26407,"20.000,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
26409,"12.300,00",Cheque,7,"R$ 0,00",,,,,,,,,,,
26411,"10.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26411,"10.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26358,"12.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26358,"40.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27093,"2.250,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27093,"6.720,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
